workerId,Time_spent_page_1,Time_spent_survey_1,Condition,Pin,Pinterest:Which of the following social media platforms do you have an account on?,Instagram:Which of the following social media platforms do you have an account on?,Facebook:Which of the following social media platforms do you have an account on?,Twitter:Which of the following social media platforms do you have an account on?,YouTube:Which of the following social media platforms do you have an account on?,Snapchat:Which of the following social media platforms do you have an account on?,Facebook:How often do you visit each of the following social media platforms?,Instagram:How often do you visit each of the following social media platforms?,Twitter:How often do you visit each of the following social media platforms?,Pinterest:How often do you visit each of the following social media platforms?,YouTube:How often do you visit each of the following social media platforms?,Snapchat:How often do you visit each of the following social media platforms?,Facebook:How often do you post content on each of the following social media platforms?,Instagram:How often do you post content on each of the following social media platforms?,Twitter:How often do you post content on each of the following social media platforms?,Pinterest:How often do you post content on each of the following social media platforms?,YouTube:How often do you post content on each of the following social media platforms?,Snapchat:How often do you post content on each of the following social media platforms?,Time_spent_page_2,Time_spent_survey_2,PinId,Time_spent_page_3,Time_spent_survey_3,"In a few sentences, please tell us about the pin you just observed.",What is your overall impression of the pin?,Please describe the reason behind your answer to the above question.,Time_spent_page_4,Time_spent_survey_4,"After observing the pin, what is your overall impression of the item shown in the image above?",How much do you think the pin creator favors the item shown in the image above?,How likely do you think there is a relationship between the pin creator and the organization selling the item?,Please describe the reason behind your answer to the above question.,Time_spent_page_5,Time_spent_survey_5,One of the lines in the the description of the pin you observed states: ,Time_spent_page_6,Time_spent_survey_6,Time_spent_page_7,Time_spent_survey_7,In which year were you born?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,Time_spent_page_8,Time_spent_survey_8
171,9,9,3,2,Yes,No,Yes,Not Sure,Yes,No,About Once A Day,Never,Less Often,A Few Times A Week,Several Times A Day,Never,A Few Times A Week,Never,Never,Less Often,Never,Never,68,77,781374604069700266,17,94,"It is for a bird feeding product, rather ornate for that. Well done.",Somewhat Positive,Seems somewhat difficult to work up any dislike I would think. As an attention getter it works.,135,229,Somewhat Positive,Strongly Favors,Extremely Likely,I think that this may be a representative of the product or a fan of the same,54,291,an affiliate link is clearly an affiliated link which would probably more products of the suet product maker.Or perhaps the makers home website.,139,430,30,460,1960,Male,Bachelor's Degree,"Less than $25,000",273,733
172,5,5,3,4,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,Several Times A Day,Several Times A Day,Several Times A Day,Every Few Weeks,A Few Times A Week,A Few Times A Week,A Few Times A Week,About Once A Day,Several Times A Day,Less Often,Every Few Weeks,33,38,1548181098801468,10,48,It looks to be a comforter or blanket.  It could possibly be a link to buy it.  It could also be a link to find out how to make it.,Somewhat Positive,It is an attractive blanket,57,105,Somewhat Positive,Moderately Favors,Somewhat Unlikely,I believe it is a person who pinned the blanket because they like it.,35,146,That means that the pinner is making $ from the pin,20,166,16,182,1975,Female,High School Graduate,"$50,000 to $74,999",14,196
173,13,13,4,4,Yes,Yes,Yes,Yes,Yes,No,About Once A Day,Several Times A Day,Several Times A Day,About Once A Day,A Few Times A Week,Never,Every Few Weeks,A Few Times A Week,Every Few Weeks,A Few Times A Week,Never,Never,70,83,1548181098801468,25,108,I saw the it was a photo of a towel or blanket of the home. The item was up on display. The time was posted a one person.,Somewhat Positive,I liked the design and color of the item.,93,201,Extremely Negative,Does Not Favor At All,Extremely Likely,The poster was given money to post the item.,104,314,It means he poster received money for posting the blanket.,375,689,22,711,1974,Female,Bachelor's Degree,"$50,000 to $74,999",18,729
174,8,8,3,2,Yes,No,No,Yes,Yes,Yes,Never,A Few Times A Week,Several Times A Day,About Once A Day,A Few Times A Week,A Few Times A Week,Never,Never,Several Times A Day,About Once A Day,Never,Never,53,61,781374604069700266,86,147,Woodpecker Treat bird food.,Neutral,No opinion,22,169,Neutral,Moderately Favors,Somewhat Likely,It's an advertisement.,30,206,Affiliate link,12,218,16,234,1983,Female,Some College,"$35,000 to $49,999",14,248
175,8,8,5,2,Yes,No,Yes,No,Yes,No,About Once A Day,Never,Never,About Once A Day,Several Times A Day,Never,A Few Times A Week,Never,Never,A Few Times A Week,About Once A Day,Never,50,58,781374604069700266,32,90,wood peacker year round bird feed food,Neutral,bird food,67,157,Somewhat Positive,Moderately Favors,Neutral,not sure,56,244,don't know,22,266,31,297,1981,Female,Master's Degree,Prefer not to answer,28,325
176,29,29,1,5,No,No,Yes,No,Yes,No,About Once A Day,Never,Less Often,Less Often,About Once A Day,Never,Less Often,Never,Never,Never,Never,Never,64,93,804314814672700115,8,101,A dog bed in the shape of a shark.,Somewhat Positive,I thought it was a cute and interesting idea.,23,124,Somewhat Positive,Moderately Favors,Somewhat Likely,I suppose using pins to sell items makes a lot of sense.,37,172,,,,18,190,1986,Male,"Professional Degree (e.g., MBA, J.D.)","$50,000 to $74,999",46,236
177,78,78,4,3,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,A Few Times A Week,Less Often,A Few Times A Week,A Few Times A Week,About Once A Day,A Few Times A Week,A Few Times A Week,Less Often,Every Few Weeks,Less Often,A Few Times A Week,49,127,414823815668000016,14,141,The pin was about a very glam young girl's shoe. They misspelled DIY but I'd assume it's a pin about adding the extra glitter/glam to a shoe.,Somewhat Positive,I like DIY projects but the pin wasn't a very great quality,80,221,Extremely Negative,Moderately Favors,Somewhat Likely,The pin creator gets a commission  for shoes sold through that link.,52,309,"It's great that they're honest about it but it makes me feel that the point of the pin is for them to make money, and there might be other shoes that work better/would look nicer",51,360,25,385,1989,Female,Bachelor's Degree,"$35,000 to $49,999",14,399
178,7,7,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Every Few Weeks,A Few Times A Week,Several Times A Day,Every Few Weeks,A Few Times A Week,A Few Times A Week,Every Few Weeks,Every Few Weeks,Every Few Weeks,Less Often,53,60,414823815668000016,11,71,baby glitter converse,Somewhat Positive,it was a cool sneaker. ,33,104,Extremely Positive,Strongly Favors,Extremely Likely,the incentive to create the pin must be fueled by profit.,53,175,not sure.,18,193,31,224,1992,Male,Some College,"$100,000 to $124,999",15,239
179,6,6,3,4,Yes,Yes,Yes,Yes,Yes,Yes,About Once A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,About Once A Day,17,23,1548181098801468,6,29,It is a decent one ,Extremely Negative,I dont like it that much,9,38,Somewhat Positive,Somewhat Favors,Somewhat Likely,That is how I feel,8,50,There are different things that cna be done,10,60,4,64,1989,Female,Associate's Degree,"Less than $25,000",14,79
180,32,32,2,2,No,No,Yes,Yes,Yes,No,A Few Times A Week,A Few Times A Week,About Once A Day,Never,Several Times A Day,Never,Less Often,Never,Less Often,Never,Never,Never,121,153,781374604069700266,44,197,I believe it is a package for bird food. The text under the image says Pets. The image is very friendly looking. The image has nice colors.,Somewhat Positive,It is a very appealing image. The colors draw your attention. It is not a negative image. It has a positive message.,180,377,Somewhat Positive,Strongly Favors,Somewhat Likely,"I believe they are affiliated because it said ""af link"" that means they get compensated when someone buys with that link.",131,525,affiliate link means affiliated link. The person receives compensation when you buy something with their link.,37,562,32,594,1988,Male,Bachelor's Degree,"Less than $25,000",45,639
181,15,15,4,4,No,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Less Often,Never,About Once A Day,About Once A Day,A Few Times A Week,Every Few Weeks,Never,Never,Less Often,Less Often,40,55,1548181098801468,9,64,"Well, it was Colleens sweater rug looking thing.   I'm not sure exactly what it's supposed to be.",Somewhat Negative,Because It just looks like a blanket but it could be some type of clothing,53,117,Neutral,Somewhat Favors,Extremely Likely,Well Colleen said she was commissioned,30,156,It means she gets money to sell the item,16,172,12,184,1984,Male,High School Graduate,"$35,000 to $49,999",10,194
182,3,3,2,5,Yes,Yes,Yes,Yes,Yes,No,Less Often,A Few Times A Week,Every Few Weeks,A Few Times A Week,Several Times A Day,Never,Never,Every Few Weeks,Less Often,A Few Times A Week,Never,Never,44,47,804314814672700115,7,54,It's a dog bed shaped like a shark. The dog sleeps in its mouth.,Neutral,"There just wasn't anything inherently good or bad about it. It's cute, but also morbid I guess.",42,96,Somewhat Negative,Moderately Favors,Somewhat Likely,"I think there are a lot of advertisers on social media, and it is likely that most pins are connected to someone selling something.",73,177,I think it means that the link is posted by someone affiliated with Amazon.,32,209,27,236,1986,Female,Some College,"$25,000 to $34,999",10,246
183,15,15,4,2,Yes,No,Yes,Yes,Yes,No,Several Times A Day,Never,Several Times A Day,Several Times A Day,Several Times A Day,Never,About Once A Day,Never,Less Often,Less Often,Less Often,Never,55,70,781374604069700266,17,87,noal way to feed birds,Extremely Positive,different way of doing something might attract new birds,42,129,Extremely Positive,Strongly Favors,Somewhat Likely,it's an affiliated link the poster gets a sale commision,50,233,common for someone to get a commission on sales  from advertising,45,278,22,300,1979,Female,High School Graduate,"Less than $25,000",27,327
184,21,21,1,5,Yes,No,Yes,No,Yes,No,Every Few Weeks,Never,Never,A Few Times A Week,Several Times A Day,Never,Every Few Weeks,Never,Never,A Few Times A Week,Never,Never,61,82,804314814672700115,12,94,It was a dog bed made to look like a shark.,Neutral,"I don't have a dog. The pen was somewhat amusing. Not something I would bother with, though.",54,148,Neutral,Moderately Favors,Extremely Likely,The pin description very much looked like an undisguised advertisement and not something posted by a fan. ,44,204,,,,29,233,1968,Male,High School Graduate,"$25,000 to $34,999",12,245
185,28,28,4,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,Never,Several Times A Day,Every Few Weeks,Several Times A Day,Several Times A Day,Several Times A Day,Never,Several Times A Day,Less Often,Several Times A Day,49,77,697283954778000593,9,86,Weird yellow soap on a holder ,Neutral,Not that appealing ,25,111,Somewhat Negative,Slightly Favors,Neutral,It's ok,27,146,The person is getting commission from selling it ,18,164,8,172,1989,Female,Bachelor's Degree,"$25,000 to $34,999",16,188
186,17,17,2,3,Yes,No,Yes,No,Yes,No,About Once A Day,Never,Less Often,Every Few Weeks,A Few Times A Week,Never,Less Often,Never,Never,Never,Never,Never,41,58,414823815668000016,29,87,The pin was of baby girl shoes that had been dazzled.  They added ribbons for the laces and sparkling beads to other parts of the shoes.,Somewhat Positive,"I think this is a cute idea, but I don't know that I would ever use it.",64,151,Neutral,Strongly Favors,Extremely Unlikely,I think the creator of the pin has no relationship other than being a customer of the seller.,62,238,"I am uncertain what this means.  I don't know, something about an affiliate link?",41,279,27,306,1983,Female,Bachelor's Degree,"Less than $25,000",13,319
187,40,40,3,4,Yes,Yes,Yes,No,Yes,Yes,Several Times A Day,About Once A Day,Never,Several Times A Day,About Once A Day,A Few Times A Week,A Few Times A Week,A Few Times A Week,Never,Several Times A Day,Less Often,Every Few Weeks,54,94,1548181098801468,12,106,It was a person holding up a gray throw blanket. The person was standing behind the blanket and holding it up so that you could see its size. It was about the size of the person who was holding it. ,Neutral,"It wasn't extremely exciting visually but it wasn't a bad picture either. If I loved that blanket and wanted to buy it, I would find it to be helpful as far as seeing the product size.",116,222,Extremely Positive,Slightly Favors,Somewhat Unlikely,The photos above from the website of the company are much more visually appealing. The product is more appealing to me in these photos. I would be more likely to click on one of these photos than the first photo that I saw. ,106,338,"That the person posting has a relationship with the company and they will be compensated in someone for advertising this product for the company should you decide to purchase it. It does not cost more for you to do purchase the item, the company just pays them a small commission on the sale. ",65,403,43,446,1978,Female,Some College,"$25,000 to $34,999",16,462
188,10,10,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Every Few Weeks,About Once A Day,Every Few Weeks,Several Times A Day,Every Few Weeks,A Few Times A Week,Less Often,Every Few Weeks,Less Often,Every Few Weeks,Less Often,100,110,697283954778000593,20,130,"It is a soap holder probably in the bathroom, which is fancy looking.",Neutral,"I don't particularly like the design, nor I have anything negative to say to it.",46,176,Neutral,Strongly Favors,Somewhat Likely,"May or not be the creator, but more likely being compensated for the units sold.",149,342,The person who posted will be compensated if you purchased an item using the link provided.,56,398,134,532,1970,Female,Some College,"$35,000 to $49,999",13,545
189,9,9,5,1,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,A Few Times A Week,A Few Times A Week,About Once A Day,About Once A Day,Never,Several Times A Day,A Few Times A Week,Every Few Weeks,Never,Never,Never,46,55,697283954778000593,7,62,It is a shower wall mounted soap dish. It has a nice decorative look to it.,Somewhat Positive,I feel positive because it is a nice product.,64,126,Somewhat Positive,Strongly Favors,Extremely Likely,They seem very connected to the product.,33,170,They are paid by the company on a per sale basis,26,196,19,215,1974,Male,High School Graduate,"$25,000 to $34,999",11,226
190,4,4,4,4,Yes,Yes,Yes,Yes,Yes,No,About Once A Day,Several Times A Day,About Once A Day,Every Few Weeks,Several Times A Day,Never,A Few Times A Week,A Few Times A Week,Every Few Weeks,Never,Never,Never,55,59,1548181098801468,8,67,It was a person holding up a blanket.  They were standing behind it.  They were showing it off for home decor.,Neutral,It doesn't really elicit any emotional response in me.,44,111,Neutral,Moderately Favors,Somewhat Likely,They receive monetary reward for advertising and or selling the products.,49,169,"It means whenever someone  clicks on the link that the person advertises and buys something through it, the content creator gets a portion of the proceeds.",37,206,36,242,1982,Male,High School Graduate,"$35,000 to $49,999",9,251
191,7,7,4,4,Yes,No,Yes,No,Yes,No,Several Times A Day,Never,Never,Several Times A Day,Several Times A Day,Never,A Few Times A Week,Never,Never,About Once A Day,Never,Not Sure,44,51,1548181098801468,5,56,It looked to be a throw blanket in grey and white.,Neutral,I'm really unsure what the item was and used for.,69,125,Neutral,Moderately Favors,Somewhat Likely,The first pin I seen was just of someone holding the product.,72,205,It means that those people are ones that I remove from my lists. They have a link directing to the sale page of the item. They receive some type of commission for anyone traveling through their site.,81,286,22,308,1976,Female,Bachelor's Degree,"$75,000 to $99,999",17,325
192,10,10,2,4,Yes,No,Yes,Yes,Yes,No,Every Few Weeks,Less Often,Every Few Weeks,Less Often,Several Times A Day,Never,Never,Never,Never,Never,Never,Never,82,92,1548181098801468,12,104,The pin depicted a blanket that someone could use in their home. It was a gray blanket with a stripe pattern.,Neutral,"While the item in the pin did not appeal to my personal tastes, I could see how it might be helpful to other people that are looking around for ideas.",163,267,Neutral,Moderately Favors,Neutral,"The screen indicated that it was an affiliate link, meaning that the pin creator will get a percentage of the sale if the item is purchased through that link, or, the company is made aware that people are purchasing items through the pin creator and the company will choose to help the pin creator in another way (e.g.: sponsorship, free review items, etc.) This does not necessarily mean that there is a relationship between the two, but they are helping each other to some extent.",260,544,"Affiliate links indicate that the person linking might get a percentage of the sale if a purchase is made via the link, or, the person might get sponsorship deals via companies for linking people to certain products",87,631,24,655,1986,Male,Bachelor's Degree,"$50,000 to $74,999",14,669
