workerId,Time_spent_page_1,Time_spent_survey_1,Condition,Video,Pinterest:Which of the following social media platforms do you have an account on?,Instagram:Which of the following social media platforms do you have an account on?,Facebook:Which of the following social media platforms do you have an account on?,Twitter:Which of the following social media platforms do you have an account on?,YouTube:Which of the following social media platforms do you have an account on?,Snapchat:Which of the following social media platforms do you have an account on?,Facebook:How often do you visit each of the following social media platforms?,Instagram:How often do you visit each of the following social media platforms?,Twitter:How often do you visit each of the following social media platforms?,Pinterest:How often do you visit each of the following social media platforms?,YouTube:How often do you visit each of the following social media platforms?,Snapchat:How often do you visit each of the following social media platforms?,Facebook:How often do you post content on each of the following social media platforms?,Instagram:How often do you post content on each of the following social media platforms?,Twitter:How often do you post content on each of the following social media platforms?,Pinterest:How often do you post content on each of the following social media platforms?,YouTube:How often do you post content on each of the following social media platforms?,Snapchat:How often do you post content on each of the following social media platforms?,Time_spent_page_2,Time_spent_survey_2,VideoId,player_actions,Time_spent_page_3,Time_spent_survey_3,"In a few sentences, please tell us about the video you just watched.",What is your overall impression of the video?,Please describe the reason behind your answer to the above question.,Time_spent_page_4,Time_spent_survey_4,Time_spent_page_description,Time_spent_survey_description,"After watching the video, what is your overall impression of the item shown in the image above?",How much do you think the video creator favors the item shown in the image above?,How likely do you think there is a relationship between the video creator and the organization selling the item?,Please describe the reason behind your answer to the above question.,Time_spent_page_5,Time_spent_survey_5,One of the lines in the the description of the video you watched states: ,Time_spent_page_6,Time_spent_survey_6,Time_spent_page_7,Time_spent_survey_7,In which year were you born?,What is your gender?,What is the highest level of education you have completed?,What is your annual household income?,Time_spent_page_8,Time_spent_survey_8
298,5,5,3,3,Yes,Yes,Yes,Yes,Yes,No,About Once A Day,About Once A Day,Several Times A Day,About Once A Day,Several Times A Day,Never,Several Times A Day,About Once A Day,Several Times A Day,About Once A Day,Several Times A Day,Never,35,40,jtiP-cKE16U,Start|0;-1|0;3|0;1|0;,173,213,"it was still frame photos of hotels. it was everything from candles, to dining rooms, to bedrooms, tv's, desks. it was cool mod furniture which i really liked too. very strange christmas music playing the whole time made it rather creepy.",Neutral,the music was weird and didn't match. many of the rooms were quite sparse and not quite at the level of luxury that i would prefer in a hotel.,102,315,12,327,Somewhat Negative,Strongly Favors,Extremely Likely,"it's currently fashionable to enjoy midcentury modernist design, which i have also enjoyed long before it became fashionablle. however it does not look luxurious, it looks cheap. most hotels don't go out of their way to look cheap.",88,415,it means there will be links showing up from companies that created the products that are being seen.,37,452,14,466,1977,Female,Some College,"$125,000 to $149,999",14,480
299,2,2,5,3,No,Yes,Yes,Yes,Yes,Yes,Every Few Weeks,Every Few Weeks,Every Few Weeks,Never,Several Times A Day,Every Few Weeks,Never,Never,Never,Never,Less Often,Never,57,59,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.0009999275207519531;,175,234,"It was a HORRIBLE video with ""Deck the Halls"" playing on a loop and pictures of a hotel.",Extremely Negative,It didn't teach me anything and was the opposite of entertaining.,38,272,18,290,Neutral,Somewhat Favors,Somewhat Likely,Thhe video is meant to be a referral or ad for the hotel shown so thye have a relationship.,57,347,"It means if you click the link, they get money.",18,365,12,377,1982,Male,Bachelor's Degree,"Less than $25,000",10,387
300,13,13,5,2,No,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,About Once A Day,Never,Several Times A Day,About Once A Day,Several Times A Day,Several Times A Day,About Once A Day,Never,Several Times A Day,About Once A Day,47,60,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.002000093460083008;,196,256,It's a video showing how to make up ,Somewhat Positive,It's a good makeup video ,58,314,3,317,Somewhat Positive,Strongly Favors,Somewhat Likely,Is good,10,327,Very good,94,421,5,426,1990,Male,Bachelor's Degree,"$50,000 to $74,999",11,437
301,156,156,2,5,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,A Few Times A Week,Every Few Weeks,Several Times A Day,A Few Times A Week,Every Few Weeks,About Once A Day,Every Few Weeks,Less Often,A Few Times A Week,Never,Every Few Weeks,93,249,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.0009999275207519531;0|220.721;,303,552,A Man reviewing a record player he just got.,Somewhat Positive,"It was nostalgic for me because I had one very similar for my 14 Birthday way back in the 70's. He presented it very well and showed all the functions. he spoke clearly,",467,1019,32,1051,Extremely Positive,Strongly Favors,Neutral,I had never even considered it. but I suppose it's possible. ,226,1277,there may be links to take you to other sellers. selling the same product.,148,1425,77,1502,1964,Female,Associate's Degree,"$35,000 to $49,999",28,1530
302,39,39,1,3,No,Yes,Yes,Yes,Yes,No,About Once A Day,A Few Times A Week,Several Times A Day,Never,Several Times A Day,Never,A Few Times A Week,Every Few Weeks,Every Few Weeks,Never,Never,Never,212,251,jtiP-cKE16U,Start|0;-1|0;3|0;1|0;0|213.141;,701,952,It's a video about a modernistic looking hotel/hotels. ,Somewhat Negative,I love Christmas music which was playing and had NOTHING TO DO with the video's playing. ,36,988,4,992,Neutral,Strongly Favors,Extremely Likely,It's pretty obvious the video is advertising hotels. It has the word Hotelz on the video throughout.,36,1028,,,,4,1032,1970,Male,Bachelor's Degree,"$50,000 to $74,999",9,1041
303,14,14,5,2,No,Yes,No,Yes,Yes,No,Never,About Once A Day,Several Times A Day,Never,Several Times A Day,Never,Never,A Few Times A Week,Several Times A Day,Never,Less Often,Never,42,56,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0;0|204.901;,232,288,It was a girl explaining makeup and how she gets smoky eyes.,Somewhat Positive,"I can't fairly judge it. I'm a guy and a video like that doesn't apply to me. I chose ""Somewhat Positive"" because the girl was likable.",98,386,21,407,Neutral,Moderately Favors,Somewhat Likely,"Question 8: I can't fairly judge makeup products.  Question 9: She knew what she was doing with the specific product, so she must like it and used it multiple times in the past.  Question 10: She has a ton of subscribers. These companies probably give her the product to review in hopes of generating sales.",164,572,She gets paid if her video directs traffic to the company's site.,44,616,19,635,1976,Male,Some College,"$35,000 to $49,999",14,649
304,75,75,1,5,Yes,Yes,Yes,Yes,Yes,No,Several Times A Day,Several Times A Day,Several Times A Day,About Once A Day,Several Times A Day,Every Few Weeks,Several Times A Day,About Once A Day,Several Times A Day,Several Times A Day,Several Times A Day,Every Few Weeks,46,121,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.0019998550415039062;0|220.7572585;,230,351,It was a portable record player,Extremely Positive,He was a good reviewer.,29,380,4,384,Extremely Positive,Strongly Favors,Extremely Likely,It has all the information that you need for this purchase.,31,415,,,,6,421,1979,Male,Bachelor's Degree,"$100,000 to $124,999",17,438
305,9,9,2,1,Yes,No,Yes,Yes,Yes,Yes,Several Times A Day,Never,Several Times A Day,A Few Times A Week,About Once A Day,Several Times A Day,Every Few Weeks,Never,A Few Times A Week,Less Often,Less Often,Several Times A Day,138,147,DQktwMexxE0,Start|0;-1|0;3|0;1|0.0009999275207519531;0|217.081;,223,370,about a car reacting to a japanese furby. It was pretty boring to watch. ,Neutral,I had no impression. It was incredibly boring. ,38,409,12,421,Neutral,Slightly Favors,Somewhat Unlikely,It had nothing to do with car food. ,35,456,Means nothing to mean. I dont know what it even means. ,29,485,16,501,1992,Male,Bachelor's Degree,"$35,000 to $49,999",17,518
306,10,10,3,4,Yes,Yes,Yes,Yes,Yes,Yes,Several Times A Day,About Once A Day,Several Times A Day,Less Often,Several Times A Day,About Once A Day,A Few Times A Week,A Few Times A Week,About Once A Day,Less Often,A Few Times A Week,Less Often,58,68,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.15633492179870606;,201,269,Discovering scenes in icelands like waterfalls rivers roads and mountaing.,Extremely Positive,Nature is always awesome especially if you have never seen it before.,101,370,18,388,Extremely Positive,Strongly Favors,Extremely Likely,The video creator embraces the uses and quality features of the drone.,136,524,It displays a link published by the owner. If you use the link the owner gets a percentage of the sale.,72,596,51,647,1980,Female,Associate's Degree,"$50,000 to $74,999",40,687
307,12,12,3,2,Yes,Yes,Yes,Yes,Yes,No,A Few Times A Week,About Once A Day,Less Often,About Once A Day,Several Times A Day,Never,Less Often,A Few Times A Week,Less Often,A Few Times A Week,A Few Times A Week,Never,80,92,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.004999876022338867;0|204.901;,226,318,"I have watched a review on L'Oreal Nude Palette bought from a drug store for twenty dollars. A girl explained everything about the palette, giving a really nice and concise review, also I have seen her put it into practice and actually showing on herself how the palette colors look like on the eyes. I had a nice experience watching it. ",Somewhat Positive,"Overall impression was somewhat positive. I like  how the girl explained how the product works. Also i liked the daylight in the video, which gave it an authentic look.",541,859,84,943,Somewhat Positive,Moderately Favors,Somewhat Likely,"I think that the creator of the video has amazon link pointed to her amazon account where she actually sells these products, and using YouTube platform to promote the sales of  L'Oreal palette on Amazon platform. Yes I suspect  that there is a relationship between the organization and video creator.",512,1456,"That means that the video creator have partnership with certain platforms/organizations and post their links on her channel and website. When customers click on those links and buy something, the person who post those links gets a cut from the sale.",321,1777,74,1851,1977,Male,Some College,"Less than $25,000",22,1873
308,38,39,7,3,No,No,No,Yes,Yes,No,Never,A Few Times A Week,Several Times A Day,Less Often,Several Times A Day,Never,Never,Never,Several Times A Day,Never,Never,Never,53,92,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.0010001659393310547;0|213.141;,223,315,"it was a promotional video for Hotelz.tv that had ""Deck the Halls"" as the background music- it showed off the facilities which looked pretty nice, but only had white people in it",Somewhat Positive,"everything was clean and well lit, it seems like a nice sort of place to go on vacation  the designs of the interiors were not bad",80,395,26,421,Somewhat Positive,Does Not Favor At All,Somewhat Likely,"this place was shown in an ad for a service, so they are at least related since you have to show a product for whatever it is that one is trying to sell",69,490,standard link that helps expand upon what was shown in the video- these are good since they help people be able to interact better with the product and know where to go if they want to do something,47,537,16,553,1984,Other,Some College,"Less than $25,000",18,571
309,5,5,7,1,Yes,Yes,Yes,No,Yes,Yes,Several Times A Day,A Few Times A Week,Less Often,A Few Times A Week,Several Times A Day,A Few Times A Week,A Few Times A Week,Never,Never,Never,Never,Never,30,35,DQktwMexxE0,Start|0;-1|0;3|0;1|0.0009999275207519531;0|217.081;,236,271,The grey tabby kept playing with a pink furby despite where ever it was sitting.,Extremely Positive,It was a cute animal video.  Nothing to not enjoy.,30,301,24,325,Extremely Positive,Strongly Favors,Somewhat Likely,Generally popular you-tube channels have products they try to push out to their subscribers. ,54,379,It means they get some money if you click on those links and purchase items,21,400,8,408,1991,Female,Bachelor's Degree,"$35,000 to $49,999",11,419
310,33,33,5,3,Yes,Yes,Yes,No,Yes,Yes,Several Times A Day,Several Times A Day,Never,Several Times A Day,Several Times A Day,Several Times A Day,Every Few Weeks,Every Few Weeks,Never,Never,Never,A Few Times A Week,56,89,jtiP-cKE16U,Start|0;-1|0;3|0;1|0.002267927520751953;0|213.145191;,222,311,"A video about a hotel in another country, but showing photos around the place.",Neutral,"The video was bland with only photos, no video that pop out.",133,444,34,478,Neutral,Somewhat Favors,Extremely Unlikely,Video felt like it was put together with no regard into actually making the video look good.,82,560,"The person was really looking for money, and not taking the video to heart.",55,615,26,641,1996,Male,Some College,"$35,000 to $49,999",18,659
311,6,6,3,2,Yes,Yes,Yes,Yes,Yes,Yes,A Few Times A Week,Several Times A Day,Several Times A Day,A Few Times A Week,Several Times A Day,About Once A Day,Every Few Weeks,A Few Times A Week,Every Few Weeks,Less Often,Less Often,About Once A Day,41,47,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.0010001659393310547;,196,243,A woman was putting on eye makeup. She was reviewing a product with many colors.,Somewhat Negative,I think it is ridiculous how much women spend on makeup time and money-wise.,102,345,33,378,Somewhat Positive,Somewhat Favors,Neutral,It didn't seem at all like it was sponsored and the reviewer was giving honest critical feedback it seemed.,59,437,"If you click on a link in the description and it takes you to an amazon link for example, the youtuber would get a small fee.",48,485,16,501,1972,Male,Associate's Degree,"$75,000 to $99,999",13,514
312,254,254,7,5,Yes,No,Yes,No,Yes,No,A Few Times A Week,Never,Never,Every Few Weeks,About Once A Day,Never,Less Often,Never,Never,Less Often,Less Often,Never,67,321,xU-z-hwfRrc,Start|0;-1|0;3|0;1|0.13983344686584473;2|219.11437400207518;,1286,1607,It was a review about a Crowely record player. They told about the features of the record player. They said that there were a couple downfalls such as the electric cord not fitting inside the record player when it folded into a suitcase.,Neutral,It wasn't a bad review but it was kind of all over the place.,892,2499,11,2510,Neutral,Strongly Favors,Neutral,I don't know and I could speculate all I want but there is no evidence either way.,55,2565,"To me it means they may get something i.e money, points, rankings if you use those links.",70,2635,39,2674,1982,Female,High School Graduate,"Less than $25,000",13,2687
313,21,21,1,4,No,Yes,Yes,Yes,Yes,Yes,Several Times A Day,Several Times A Day,A Few Times A Week,A Few Times A Week,A Few Times A Week,A Few Times A Week,Several Times A Day,Several Times A Day,Several Times A Day,About Once A Day,Several Times A Day,About Once A Day,57,78,vozXN-Jnn6s,Start|0;-1|0;3|0;1|0.7764998683929444;3|0.835125;1|1.2631251277923583;,181,259,It was about a drone footage of landscapes in Iceland,Extremely Positive,It was very good quality and had good angles to show good footage,91,350,16,366,Extremely Positive,Strongly Favors,Extremely Unlikely,I believe the person that owns the drone has no affilation with the organization,113,479,,,,27,506,1980,Male,High School Graduate,"$25,000 to $34,999",23,529
314,7,7,5,1,No,No,Yes,No,No,No,Less Often,Never,Never,Never,Never,Never,Less Often,Never,Never,Never,Never,Never,53,60,DQktwMexxE0,Start|0;-1|0;3|0;1|0.009000062942504883;0|217.081;,235,295,watched a cat get used to a furbie and then when it got put away he was agitated and distraught and tried to find it and snatch it back,Neutral,boring,84,379,10,389,Neutral,Somewhat Favors,Neutral,not sure,43,432,"there are links contained in the video as advertisements, if you click to go there the creator gets a comission",50,482,15,497,1966,Male,Bachelor's Degree,"$125,000 to $149,999",22,519
315,10,10,3,2,No,No,Yes,No,Yes,No,About Once A Day,Never,Never,Never,A Few Times A Week,Never,A Few Times A Week,Never,Never,Never,Every Few Weeks,Never,45,55,FtB3PL9hcWk,Start|0;-1|0;3|0;1|0.003000020980834961;0|204.901;,212,267,It was a beauty vlogger reviewing an eyeshadow palette. She was using a L'Oreal product. She applied the make-up and talked about the quality.,Extremely Positive,I thought she was friendly and she applied her make-up well. I liked the colors that she was using and her tips were helpful.,219,486,53,539,Extremely Positive,Moderately Favors,Somewhat Likely,"She mentioned that she received the product at a discount, so it made me wonder if they send her products at discounted prices.",146,685,It means that there may be advertising links to products that make the Youtube account holder money when people click on them.,76,761,45,806,1975,Female,Bachelor's Degree,"$50,000 to $74,999",16,822
